﻿Photos,Files,,Job Code,Project,Ele. #,Ele. Name,,Task,Dept.,,Check In,Completed,,Notes
,,,18-104,Ft. McDowell,-4,Buffet Fins,,Submit questions to Matt / David about spacing and lighting,PM,,12/2/2019,Checked,,Addressed in the submittal
,,,18-104,Ft. McDowell,-24,Ceiling Beam Diffusers,,Order material,PM,,,,,
,,,18-104,Ft. McDowell,-20,Decorative Center Column,,Build metal frame,Metal,,,,,
,,,18-104,Ft. McDowell,-24,Ceiling Beam Diffusers,,Package Ceiling Beam Diffusers,Shipping,,,,,
,,,19-220,Alder Bar Top,-3,Alder Bar Top,,Check in With Kiera,PM,,10/29/2019,Checked,,
,,,18-104,Ft. McDowell,-15,Column Lightbox Panels,,Package Column Lightbox Panels,Shipping,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Make sure all materials have been ordered,PM,,,Checked,,Marie is trying to find the center support tube
,,,19-248,Kyle Mock,-5,Bark Wrap,,Pull (10) bark wraps from mold,Sculpt,,,,,
,,,18-104,Ft. McDowell,-23,Long and Short Lightbox Column,,Cut PVC frames,CNC,,,,,
,,,18-104,Ft. McDowell,-2,,,Migrate tasks over to Smartsheet,PM,,12/2/2019,Checked,,
,,,19-248,Kyle Mock,-7,Stump (Pine),,Get mounting bracket specs,PM,,12/2/2019,Checked,,Email sent to Kyle Gary and Patrick on 10/15/19
,,,18-104,Ft. McDowell,-22,Back Bar Diffusers,,Paint PVC,Paint,,,,,
,,,19-248,Kyle Mock,-2,,,Add dates to Smartsheet schedule,PM,,,Checked,,Partially complete - finish up on Wednesday
,,,18-104,Ft. McDowell,-5,Glazed Feather Wall,,Get confirmation on materials,PM,,12/6/2019,,,Sent clarification email to Jenna Laughman on 10/24/19 @ 3:15p
,,,00-000,Overhead,0,,,Prep for Production Meeting,PM,,,Checked,,
,,,19-248,Kyle Mock,-7,Stump (Pine),,Find reference images or an actual stump to pull a mold from,Design,,,,,
,,,18-104,Ft. McDowell,-15,Column Lightbox Panels,,Visit Victor Friday at 10a,PM,,,Checked,,
,,,18-104,Ft. McDowell,-4,Buffet Fins,,Get quote for solid surface,PM,,,,,
,,,19-109,CHW Hanging Book Sculpture,-3,Hanging Book Sculpture,,Update drawings with new rod locations,PM,,12/2/2019,Checked,,Will coordinate with Brian Nelson per email on 10/25/19
,,,19-248,Kyle Mock,-2,,,Schedule meeting with Christian to go over design,PM,,,Checked,,10/28/19 - 3:00p
,,,18-104,Ft. McDowell,-23,Long and Short Lightbox Column,,Package Long And Short Lightbox Column,Shipping,,,,,
,,,18-104,Ft. McDowell,-9,Specialty Restaurant Facade,,Assemble Wall,Fab,,,,,
,,,19-248,Kyle Mock,-6,Stump (Oak),,Get camera or camera specs,PM,,,Checked,,Email sent to Kyle Gary and Patrick on 10/15/19
,,,18-104,Ft. McDowell,-23,Long and Short Lightbox Column,,Get metal from Atomic,Vendor,,12/11/2019,,,
,,,18-104,Ft. McDowell,-20,Decorative Center Column,,Call back TBE re: submittal,PM,,,Checked,,Call (314) 791-4840 David Nejelski
,,,18-104,Ft. McDowell,-22,Back Bar Diffusers,,Get polycarbonate from Souers,Vendor,,12/11/2019,,,
,,,19-248,Kyle Mock,-5,Bark Wrap,,Get or sculpt bark texture,Paint,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Build center support structure from base plate gussets and tube,Metal,,12/2/2019,Checked,,
,,,18-104,Ft. McDowell,-5,Glazed Feather Wall,,Paint MDF feathers,Paint,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Let Kyle and Rob know about new schedule,PM,,,Checked,,10/14/19 @ 2:30p
,,,18-104,Ft. McDowell,-13,Bar Light Boxes,,Paint PVC,Paint,,,,,
,,,18-104,Ft. McDowell,-20,Decorative Center Column,,Paint sheet metal pattern,Paint,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Make sure Marie has issued Canaan a PO,PM,,10/29/2019,Checked,,
,,,18-104,Ft. McDowell,-9,Specialty Restaurant Facade,,Cut Fin parts,CNC,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Talk to Christy about the welds,PM,,12/2/2019,Checked,,Email sent
,,,19-248,Kyle Mock,-4,Log,,Modify opening on existing form?,Sculpt,,,,,
,,,18-104,Ft. McDowell,-4,Buffet Fins,,Update and resubmit shop drawings,Design,,12/2/2019,Checked,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Submit ROM to Kyle on the unveiling,PM,,12/2/2019,Checked,,Wait to hear back about the parachute idea
,,,19-109,CHW Book Sculpture,-3,Book Sculpture,,Get meeting invite sorted out,PM,,,Checked,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Coordinate install schedule with Morgan at Forma,PM,,12/2/2019,Checked,,
,,,19-248,Kyle Mock,-7,Stump (Pine),,Get feedback on reference images,PM,,12/2/2019,Checked,,Email sent to Kyle Gary and Patrick on 10/15/19
,,,19-248,Kyle Mock,-4,Log,,Shop drawings,Design,,,,,
,,,00-000,Overhead,0,,,Job Costs,PM,,,Checked,,
,,,18-222,Desert Diamond,-3,Wall Panels,,Call Jan about whether the shipment was picked up in LA or not.,PM,,12/3/2019,Checked,,He called back around 9 and confirmed they picked it up in LA
,,,18-104,Ft. McDowell,-4,Buffet Fins,,Ask about the ID vs OD of the wall spacing,PM,,12/6/2019,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Confirm Thursday return to site isn't an issue,PM,,12/3/2019,Checked,,Morgan confirmed time was ok via email on 12/03/19
,,,18-104,Ft. McDowell,-9,Specialty Restaurant Facade,,Get information about the film on the polycarbonate,PM,,12/6/2019,,,I asked Allan to put together a pattern for approval I'll submit when it's ready
,,,18-104,Ft. McDowell,-4,Buffet Fins,,Get quote from Envel,PM,,12/6/2019,,,Email sent to Dani at Envel on 12/04/19 @ 8:45a
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Get status in sculpt,PM,,12/9/2019,,,They're going to start working on these next week
,,,18-104,Ft. McDowell,-3,Light Box Wall,,Send email to Matt justifying the removed VE credit,PM,,12/6/2019,,,
,,,18-104,Ft. McDowell,-13,Bar Light Boxes,,Check in with Eddie about the status of the polycarbonate,PM,,12/9/2019,,,Email sent on 12/03/19 @ 1:20p letting them know the sample is still way off.
,,,18-222,Desert Diamond,-3,Wall Panels,,Send tracking info to Jan,PM,,12/3/2019,Checked,,
,,,18-104,Ft. McDowell,-9,Specialty Restaurant Facade,,Cut files for the radiused wall parts,PM,,12/4/2019,Checked,,
,,,18-104,Ft. McDowell,-13,Bar Light Boxes,,Send sample back to Souers,PM,,12/4/2019,Checked,,Dropped off with Sue to ship on 12/04/19 @ 8:10a
,,,18-104,Ft. McDowell,-15,Column Lightbox Panels,,Go review the frames at RMH,PM,,12/5/2019,Checked,,Approved them after the visit we're going to pick them up on 12/06
,,,18-104,Ft. McDowell,-9,Specialty Restaurant Facade,,Get veneer in,PM,,12/11/2019,,,We're going to get a sample for Kiera to test the stain on before ordering the full lot
,,,18-104,Ft. McDowell,-26,Display Cases,,Send CA to Marie and schedule a kickoff meeting with Brian T,PM,,12/6/2019,Checked,,Sent CA to Marie on 12/05/19 scheduled kickoff for 12/06/19
,,,19-156,Everett Public Library,-3,Rocket Ship,,Close out documents,PM,,12/6/2019,,,
,,,19-156,Everett Public Library,-3,Rocket Ship,,Talk to Brian Tolen about the O&M Manuals,PM,,12/6/2019,,,
,,,18-104,Ft. McDowell,-2,,,Get signature on CA #07,PM,,12/9/2019,,,
,,,19-156,Everett Public Library,-3,Rocket Ship,,Make sure Berry sign has submitted certified payrolls,PM,,12/6/2019,,,
